college_id,name,lat,lon,state,type,control,acceptance,enrollment,tuition,url
alabama-a-m-university_AL_34.783_-86.569,Alabama A & M University,34.783368,-86.568502,AL,Public Regional Universities,Public,66.2%,"5,726","$10,024.00",www.aamu.edu
university-of-alabama-at-birmingham_AL_33.506_-86.799,University of Alabama at Birmingham,33.505697,-86.799345,AL,Public Flagship Universities,Public,88.4%,"12,118","$8,832.00",www.uab.edu
amridge-university_AL_32.363_-86.174,Amridge University,32.362609,-86.17401,AL,Elite Private Universities,Private Nonprofit,,226,,www.amridgeuniversity.edu
university-of-alabama-in-huntsville_AL_34.725_-86.640,University of Alabama in Huntsville,34.724557,-86.640449,AL,Public Flagship Universities,Public,74.2%,"6,650","$11,770.00",www.uah.edu
alabama-state-university_AL_32.364_-86.296,Alabama State University,32.364317,-86.295677,AL,Public Flagship Universities,Public,95.6%,"3,322","$11,248.00",www.alasu.edu
the-university-of-alabama_AL_33.212_-87.546,The University of Alabama,33.211875,-87.545978,AL,Public Regional Universities,Public,75.8%,"32,323","$11,900.00",www.ua.edu
athens-state-university_AL_34.807_-86.965,Athens State University,34.806793,-86.964698,AL,Public Regional Universities,Public,,"2,407",,www.athens.edu
auburn-university-at-montgomery_AL_32.367_-86.178,Auburn University at Montgomery,32.36736,-86.177544,AL,Public Regional Universities,Public,92.6%,"2,693","$9,436.00",www.aum.edu
auburn-university_AL_32.599_-85.488,Auburn University,32.599378,-85.488258,AL,Public Flagship Universities,Public,50.5%,"25,732","$12,536.00",www.auburn.edu
birmingham-southern-college_AL_33.514_-86.851,Birmingham-Southern College,33.513774,-86.850552,AL,Private Liberal Arts Colleges,Private Nonprofit,51.9%,713,"$22,750.00",www.bsc.edu
south-university-montgomery_AL_32.343_-86.216,South University-Montgomery,32.342684,-86.216488,AL,Online / For-Profit,Private For-profit,,302,"$18,238.00",www.southuniversity.edu
coastal-alabama-community-college_AL_30.851_-87.778,Coastal Alabama Community College,30.851343,-87.778193,AL,Community Colleges,Public,,"4,714","$4,980.00",www.coastalalabama.edu
faulkner-university_AL_32.384_-86.216,Faulkner University,32.384181,-86.21641,AL,Elite Private Universities,Private Nonprofit,66.1%,"1,555","$23,920.00",www.faulkner.edu
george-c-wallace-state-community-college-selma_AL_32.446_-87.013,George C Wallace State Community College-Selma,32.445917,-87.013294,AL,Community Colleges,Public,,828,"$4,680.00",www.wccs.edu
huntingdon-college_AL_32.351_-86.284,Huntingdon College,32.351034,-86.284366,AL,Private Liberal Arts Colleges,Private Nonprofit,70.8%,865,"$28,650.00",www.huntingdon.edu
